match,utility,report_id,warehouse_event,dataset_customers,warehouse_customers,customers_diff,customers_diff_pct,dataset_first_date,warehouse_first_date,first_date_diff_days,dataset_last_date,warehouse_last_date,last_date_diff_days,dataset_counties,warehouse_counties,dataset_county_names,warehouse_county_names,dataset_time_source,dataset_first_is_listing_date
both,SCE,sce__r1812005_sce_psps_post_event_for_december_9_2024_de_energization,SCE PSPS Event 12/09/24,51105,51102,3,0.01,2024-12-09,2024-12-09,0,2024-12-13,2024-12-13,0,7,6,Kern; Los Angeles; Orange; Riverside; San Bernardino; San Diego; Ventura,Kern; Los Angeles; Orange; Riverside; San Bernardino; Ventura,PDF page 83,False
both,SCE,sce__20241217sce_psps_post_event_reportdeenergized_final,SCE PSPS Event 12/14/24,1007,1007,0,0.0,2024-12-14,2024-12-17,,2024-12-19,2024-12-19,0,4,3,Los Angeles; Riverside; San Bernardino; Ventura,Los Angeles; Riverside; San Bernardino,,True
both,SCE,sce__20250104sce_psps_post_event_reportdeenergizedfinal,SCE PSPS Event 01/03/25,363196,363196,0,0.0,2025-01-04,2025-01-04,0,2025-01-17,2025-01-17,0,8,7,Kern; Los Angeles; Orange; Riverside; San Bernardino; Santa Barbara; San Diego; Ventura,Kern; Los Angeles; Orange; Riverside; San Bernardino; Santa Barbara; Ventura,Excel sheet T05 row 64 (377 circuits),False
both,SCE,sce__20250120sce_psps_post_event_reportdeenergizedfinal,SCE PSPS Event 01/20/25,152394,152393,1,0.0,2025-01-20,2025-01-20,0,2025-01-27,2025-01-27,0,7,6,Kern; Los Angeles; Orange; Riverside; San Bernardino; San Diego; Ventura,Kern; Los Angeles; Orange; Riverside; San Bernardino; Ventura,Excel sheet T05 row 27 (226 circuits),False
both,SCE,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,SCE PSPS Event 06/10/25,7513,7513,0,0.0,2025-06-10,2025-06-10,0,2025-06-22,2025-06-22,0,7,7,Inyo; Kern; Los Angeles; Mono; San Bernardino; Santa Barbara; Tulare,Inyo; Kern; Los Angeles; Mono; San Bernardino; Santa Barbara; Tulare,PDF page 74,False
both,SCE,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,SCE PSPS Event 06/30/25,969,969,0,0.0,2025-07-01,2025-07-01,0,2025-07-11,2025-07-11,0,5,5,Inyo; Kern; Los Angeles; Mono; San Bernardino,Inyo; Kern; Los Angeles; Mono; San Bernardino,PDF page 20,False
both,SCE,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,SCE PSPS Event 07/15/25,311,311,0,0.0,2025-07-15,2025-07-15,0,2025-07-15,2025-07-15,0,1,1,Los Angeles,Los Angeles,PDF page 19,False
both,SCE,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,SCE PSPS Event 07/20/25,5,5,0,0.0,2025-07-23,2025-07-23,0,2025-07-24,2025-07-24,0,1,1,San Bernardino,San Bernardino,PDF page 19,False
both,SCE,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,SCE PSPS Event 08/01/25,1534,1533,1,0.07,2025-08-01,2025-08-01,0,2025-08-08,2025-08-08,0,4,4,Inyo; Kern; Mono; San Bernardino,Inyo; Kern; Mono; San Bernardino,PDF page 20,False
both,SCE,sce__r1812005_sce_psps_post_event_for_august_10_2025_de_energization,SCE PSPS Event 08/11/25,6853,6852,1,0.01,2025-08-10,2025-08-10,0,2025-08-24,2025-08-24,0,8,8,Inyo; Kern; Los Angeles; Mono; Riverside; San Bernardino; Santa Barbara; Tulare,Inyo; Kern; Los Angeles; Mono; Riverside; San Bernardino; Santa Barbara; Tulare,PDF page 122,False
