utility,event_year,label,filename,listing,source_url,report_id,read_before
SCE,2025,"June 30, 2025: SCE PSPS Post-Event Report",r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-1-2025-de--energization.pdf,sce__r1812005_sce_psps_post_event_for_july_1_2025_de_energization,
SCE,2025,"July 15, 2025: SCE PSPS Post-Event Report",r1812005-sce-psps-post-event-for-july-15-2025-de--energization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-15-2025-de--energization.pdf,sce__r1812005_sce_psps_post_event_for_july_15_2025_de_energization,
SCE,2025,"July 20, 2025: SCE PSPS Post-Event Report",r1812005-sce-psps-post-event-for-july-23-2025-de--energization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-july-23-2025-de--energization.pdf,sce__r1812005_sce_psps_post_event_for_july_23_2025_de_energization,
SCE,2025,"May 22, 2025: SCE PSPS Post-Event Report",r1812005-sce-psps-post-event-for-may-22-2025-high-threat.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-may-22-2025-high-threat.pdf,sce__r1812005_sce_psps_post_event_for_may_22_2025_high_threat,
SCE,2025,"September 2, 2025: SCE PSPS Post-Event Report",r1812005-sce-psps-post-event-for-september-2-2025-de-energization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-september-2-2025-de-energization.pdf,sce__r1812005_sce_psps_post_event_for_september_2_2025_de_energization,pilot:sce_2025_09_02
SCE,2025,"August 1, 2025: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-august-1-2025-de-energization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-august-1-2025-de-energization.pdf,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,
SCE,2025,"June 10, 2025: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-june-10-2025-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-june-10-2025-deenergization.pdf,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,
SCE,2025,"November 5, 2025: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-november-5-2025-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-nov-5/r1812005sce-psps-postevent-for-november-5-2025-deenergization.pdf,sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,
SCE,2025,"October 28, 2025: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-october-28-2025-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-oct-28/r1812005sce-psps-postevent-for-october-28-2025-deenergization.pdf,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,
SCE,2025,"October 8, 2025: SCE PSPS Post Event Report",r1812005sce-psps-postevent-for-october-8-2025-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-october-8-2025-deenergization.pdf,sce__r1812005sce_psps_postevent_for_october_8_2025_deenergization,
